concentration,measurement,fit,stderr,serum,virus,upper,lower
2.0863822432174402e-05,,0.827615355077574,,dimeric-bEFNB2,NiV-pseudo,,
2.1853632970091413e-05,,0.8133886036700247,,dimeric-bEFNB2,NiV-pseudo,,
2.289040158120701e-05,,0.7982739158327906,,dimeric-bEFNB2,NiV-pseudo,,
2.397635602583892e-05,,0.7822627198710549,,dimeric-bEFNB2,NiV-pseudo,,
2.511382975254342e-05,,0.7653542475308445,,dimeric-bEFNB2,NiV-pseudo,,
2.630526691212101e-05,,0.7475564696472083,,dimeric-bEFNB2,NiV-pseudo,,
2.755322760949474e-05,,0.7288869350488884,,dimeric-bEFNB2,NiV-pseudo,,
2.8860393404744533e-05,,0.7093734667174039,,dimeric-bEFNB2,NiV-pseudo,,
3.022957307511957e-05,,0.6890546682929607,,dimeric-bEFNB2,NiV-pseudo,,
3.166370865040816e-05,,0.6679801959871094,,dimeric-bEFNB2,NiV-pseudo,,
3.316588173463542e-05,,0.6462107562299534,,dimeric-bEFNB2,NiV-pseudo,,
3.4739320127670575e-05,,0.6238177981340245,,dimeric-bEFNB2,NiV-pseudo,,
3.6387404760974204e-05,,0.6008828819634802,,dimeric-bEFNB2,NiV-pseudo,,
3.8113676962386436e-05,,0.577496719752672,,dimeric-bEFNB2,NiV-pseudo,,
3.9921846065568584e-05,,0.5537579011426891,,dimeric-bEFNB2,NiV-pseudo,,
4.1815797380446704e-05,,0.5297713351911946,,dimeric-bEFNB2,NiV-pseudo,,
4.379960054178605e-05,,0.5056464559288459,,dimeric-bEFNB2,NiV-pseudo,,
4.5e-05,0.49116000000000004,0.49155422594626597,0.0072299999999999994,dimeric-bEFNB2,NiV-pseudo,0.49839000000000006,0.48393
4.587751825383288e-05,,0.481495254283053,,dimeric-bEFNB2,NiV-pseudo,,
4.80540154498164e-05,,0.457430210273373,,dimeric-bEFNB2,NiV-pseudo,,
5.033376888598949e-05,,0.4335622059991351,,dimeric-bEFNB2,NiV-pseudo,,
5.272167719082638e-05,,0.40999850122514464,,dimeric-bEFNB2,NiV-pseudo,,
5.5222871390968084e-05,,0.38684084919555944,,dimeric-bEFNB2,NiV-pseudo,,
5.7842725936534165e-05,,0.3641838210905836,,dimeric-bEFNB2,NiV-pseudo,,
6.058687024949277e-05,,0.34211339419930686,,dimeric-bEFNB2,NiV-pseudo,,
6.346120081990053e-05,,0.3207058426939816,,dimeric-bEFNB2,NiV-pseudo,,
6.647189387600804e-05,,0.3000269523304503,,dimeric-bEFNB2,NiV-pseudo,,
6.962541865545165e-05,,0.28013156295175656,,dimeric-bEFNB2,NiV-pseudo,,
7.292855130605245e-05,,0.26106342666483817,,dimeric-bEFNB2,NiV-pseudo,,
7.638838944608729e-05,,0.24285535603603053,,dimeric-bEFNB2,NiV-pseudo,,
8.001236741532315e-05,,0.22552962629130557,,dimeric-bEFNB2,NiV-pseudo,,
8.380827224958032e-05,,0.20909858861487582,,dimeric-bEFNB2,NiV-pseudo,,
8.778426041315531e-05,,0.19356544817003052,,dimeric-bEFNB2,NiV-pseudo,,
9.19488753250517e-05,,0.17892516009365886,,dimeric-bEFNB2,NiV-pseudo,,
9.631106571668415e-05,,0.16516539892085985,,dimeric-bEFNB2,NiV-pseudo,,
0.00010088020486049617,,0.15226756105437453,,dimeric-bEFNB2,NiV-pseudo,,
0.00010566611071081455,,0.14020776535776558,,dimeric-bEFNB2,NiV-pseudo,,
0.00011067906700021351,,0.12895782311522563,,dimeric-bEFNB2,NiV-pseudo,,
0.00011592984533672271,,0.11848615494336137,,dimeric-bEFNB2,NiV-pseudo,,
0.00012142972834935917,,0.10875863834925073,,dimeric-bEFNB2,NiV-pseudo,,
0.00012719053393171723,,0.09973937520804212,,dimeric-bEFNB2,NiV-pseudo,,
0.00013322464063571043,,0.09139137329535879,,dimeric-bEFNB2,NiV-pseudo,,
0.000134,0.092765,0.09039161877768347,0.004394999999999996,dimeric-bEFNB2,NiV-pseudo,0.09716,0.08837
0.00013954501427002972,,0.08367714006247642,,dimeric-bEFNB2,NiV-pseudo,,
0.00014616523576047223,,0.0765591900689774,,dimeric-bEFNB2,NiV-pseudo,,
0.0001530995303320046,,0.07000046992734311,,dimeric-bEFNB2,NiV-pseudo,,
0.00016036279807526694,,0.06396470634260763,,dimeric-bEFNB2,NiV-pseudo,,
0.00016797064596319654,,0.05841668394456895,,dimeric-bEFNB2,NiV-pseudo,,
0.00017593942138656842,,0.053322460215107,,dimeric-bEFNB2,NiV-pseudo,,
0.0001842862472805087,,0.04864952501272339,,dimeric-bEFNB2,NiV-pseudo,,
0.00019302905891746647,,0.044366912086852214,,dimeric-bEFNB2,NiV-pseudo,,
0.00020218664244569238,,0.04044526964102755,,dimeric-bEFNB2,NiV-pseudo,,
0.0002117786752560462,,0.036856896518886954,,dimeric-bEFNB2,NiV-pseudo,,
0.00022182576826385855,,0.03357575000940678,,dimeric-bEFNB2,NiV-pseudo,,
0.00023234951019671324,,0.03057743064427868,,dimeric-bEFNB2,NiV-pseudo,,
0.00024337251398330167,,0.027839148726397187,,dimeric-bEFNB2,NiV-pseudo,,
0.00025491846534303654,,0.025339676709746406,,dimeric-bEFNB2,NiV-pseudo,,
0.0002670121736808273,,0.023059290965311723,,dimeric-bEFNB2,NiV-pseudo,,
0.000279679625396379,,0.02097970592626992,,dimeric-bEFNB2,NiV-pseudo,,
0.0002929480397225631,,0.01908400311491441,,dimeric-bEFNB2,NiV-pseudo,,
0.00030684592721284256,,0.017356557116052208,,dimeric-bEFNB2,NiV-pseudo,,
0.0003214031510034277,,0.01578296017673439,,dimeric-bEFNB2,NiV-pseudo,,
0.00033665099098179773,,0.014349946778034115,,dimeric-bEFNB2,NiV-pseudo,,
0.0003526222109994747,,0.013045319237817266,,dimeric-bEFNB2,NiV-pseudo,,
0.0003693511292734642,,0.011857875160006522,,dimeric-bEFNB2,NiV-pseudo,,
0.00038687369212765427,,0.010777337341321941,,dimeric-bEFNB2,NiV-pseudo,,
0.000403,0.00016,0.009906378126369892,7e-05,dimeric-bEFNB2,NiV-pseudo,0.00023,9.000000000000002e-05
0.00040522755123260365,,0.009794286576447797,,dimeric-bEFNB2,NiV-pseudo,,
0.0004244521445097115,,0.008900097662692164,,dimeric-bEFNB2,NiV-pseudo,,
0.00044458878087358795,,0.00808687879141563,,dimeric-bEFNB2,NiV-pseudo,,
0.000465680728994741,,0.007347414422050787,,dimeric-bEFNB2,NiV-pseudo,,
0.0004877733102732824,,0.006675111662044086,,dimeric-bEFNB2,NiV-pseudo,,
0.0005109139962234575,,0.006063950119504737,,dimeric-bEFNB2,NiV-pseudo,,
0.0005351525104782289,,0.005508435152106158,,dimeric-bEFNB2,NiV-pseudo,,
0.0005605409356331154,,0.005003554403545725,,dimeric-bEFNB2,NiV-pseudo,,
0.0005871338251588582,,0.0045447374956542,,dimeric-bEFNB2,NiV-pseudo,,
0.0006149883206233886,,0.004127818728362685,,dimeric-bEFNB2,NiV-pseudo,,
0.0006441642744749805,,0.003749002629751576,,dimeric-bEFNB2,NiV-pseudo,,
0.0006747243786504148,,0.0034048321931179643,,dimeric-bEFNB2,NiV-pseudo,,
0.0007067342992845072,,0.0030921596363994337,,dimeric-bEFNB2,NiV-pseudo,,
0.0007402628178104534,,0.0028081195205491988,,dimeric-bEFNB2,NiV-pseudo,,
0.0007753819787541834,,0.00255010406688296,,dimeric-bEFNB2,NiV-pseudo,,
0.0008121672445402978,,0.0023157405184500426,,dimeric-bEFNB2,NiV-pseudo,,
0.00085069765764223,,0.002102870396664068,,dimeric-bEFNB2,NiV-pseudo,,
0.0008910560104250397,,0.0019095305113948438,,dimeric-bEFNB2,NiV-pseudo,,
0.00093332902304582,,0.0017339355901796092,,dimeric-bEFNB2,NiV-pseudo,,
0.0009776075297939365,,0.0015744623999282197,,dimeric-bEFNB2,NiV-pseudo,,
0.00102398667427155,,0.001429635242290981,,dimeric-bEFNB2,NiV-pseudo,,
0.0010725661138337637,,0.0012981127115930307,,dimeric-bEFNB2,NiV-pseudo,,
0.0011234502337277399,,0.0011786756118087364,,dimeric-bEFNB2,NiV-pseudo,,
